"Barcode","Product Name"
"705632085943","C&F Shami Chicken 12pcs"
"8690742100728","Canbebe Diapers Eco 4L 32p"
"8690742100896","Canbebe Diapers Jumbo 3 64p"
"8690742100643","Canbebe Diapers Jumbo 4 Maxi 58p"
"8690742100780","Canbebe Diapers Jumbo 4+ 50p"
"8690742162146","Canbebe Diapers Jumbo 5 Jun 52P"
"8690742162153","Canbebe Diapers Jumbo 6 46p"
"8690742150143","Canbebe Jumbo Diapers 2Mini 74p"
"8690742100759","Canbebe Stand 4 Large 10P"
"8964000788028","Canbebe Trial 3 Midi 8p"
"8964000788035","Canbebe Trial 4 large 7pcs"
"8690742400026","Canbebe Wipes 56pc"
"2451","BP This & That Rs5"
"8964002488711","Cabdyland ABC Jelly Rs50"
"870572004924","Candyland abc Jelly Rs10"
"2445","Candyland abc Jelly Rs5"
"8964002488636","Candyland Burger Jelly"
"8964001435372","Candyland Chili Milli Rs50"
"870572005198","Candyland chilimili Jelly Rs5"
"2454","Candyland Crown Rs10"
"3434","Candyland Fanty Rs2"
"8964001435525","Candyland Mello Rs10"
"8964001435518","Candyland Mello Venila Rs10"
"3122","Candyland Name Bubble"
"8964002488162","Candyland Novella Rs 15"
"8719700743521","Candyland Now Rs5"
"2443","Candyland Paradise Rs5"
"870572008366","Candyland Party Puffs"
"870572007994","Candyland Puffs Rainbow"
"8964002488766","Candyland Puffs Rs10"
"8964002488773","Candyland Puffs Rs10"
"2448","Candyland Sonnet Rs5"
"8964001070221","Candyland Twister Rs5"
"8964001435808","Candyland Yums Fruity Rs30"
"870572007376","Candyland Yums Rs10"
"6009689191966","Berg Honey Lotion 50ml"
"6009679060913","Care Bleach Cream Rs20"
"4722886845112","Care Bleach Cream25ml"
"6009679061477","Care Cold Cream 35ml"
"2546","Care Fairness Cream 10ml"
"6009679062450","Care Hone Lotion 210ml"
"6009679062443","Care Honey Lotion 110ml"
"6009679062436","Care Honey Lotion 60ml"
"6009679061354","Care Peach Bleach Cream 12g"
"6009679063433","Peach Bleach Cream"
"923000444646","Charlie Diapers 3 Med 90pcs"
"923000444660","Charlie Diapers Xl 74Pc"
"894559000280","Big Apple 1.5L"
"5449000051981","Coca Cola 1.5L btl"
"5449000025173","Coca Cola 2.25L Btl"
"54491472","Coca Cola 500ml"
"5449000020987","Coca Cola Diet 250ml Tin"
"5449000008046","Coca Cola Tin 250ml"
"5449000052926","Fanta 1.5L Btl"
"5449000000712","Fanta Tin 250ml"
"87126754","Pulpy Orange 350ml"
"5449000012203","Sprite 1.5L Btl"
"5449000034137","Sprite 2.25 L Btl"
"54491069","Sprite 500 Btl"
"5449000000729","Sprite Tin 250ml"
"5449000109613","Sprite Zero Sugar 500ml"
"8886950014173","Bonus Active 725g"
"8886950013336","Bonus Tristar 1800g"
"8886950013343","Bonus Tristar 3Kg"
"8886950011776","Brite Pwdr 550gm 10%Extra"
"4808888201115","Colgate Classic Medium"
"8886950050317","Colgate GRF Save 50"
"8886950052168","Colgate Herbal 150g Save 50"
"8886950054117","Colgate Misvak 25g"
"8886950066462","Colgate Sparkle 130g"
"8886950072036","Lemon Max  Bar 175g Scrub free"
"8886950072104","Lemon Max 95g"
"8886950096285","Lemon Max Dishwash Liquid 540ml"
"8886950072081","Max Dishwash Bar 135g"
"8886950073491","Max Dishwash Paste Org 200g"
"8886950076010","Max Scrub Sponge Reg"
"8886950039138","Palmolive 3in1 Sv20"
"8886950035079","Palmolive Briliant Shine 180ml"
"8886950031651","Palmolive Citrus 140g"
"8886950035345","Palmolive Coca Cream 90ml"
"8886950031644","Palmolive Hydrating Glow 140g"
"8886950035055","Palmolive Keratin Shampoo 180ml"
"8886950031668","Palmolive Moisturizing Glow 140g"
"8886950031637","Palmolive Rose Petal 140g"
"8886950035253","Palmolive Shampoo 2+1 free"
"8886950035260","Palmolive Shampoo 2+1 free"
"8886950035284","Palmolive Shampoo 2+1 free"
"8886950035116","Palmolive Silky Straight 375ml"
"8886950034089","Protex Saver Pack Save 20"
"8461117853378","Bread Continental Large"
"313501426508","Bread Continental Medium"
"8461117852272","Bread Continental Standard"
"2548667658748","Cake"
"3568436586446","Cake Continental Large"
"111203110313031980","Cake Continental Mini"
"2548667658724","Cake Rusk"
"6020150154327","Continental Rusk 200g"
"1234567890128","Fruit Bun"
"21486784","Royal Rusk Continental 200g"
"8964000182307","Sheer Mall"
"8961003682001","Wheatable Sugar Free RS30"
"8961003014017","Bakeri Bistiks Family Pack Rs40"
"8961003011740","Bakeri Butter Family Pack Rs 40"
"8961003021749","Bakeri Butter RS 18"
"8961003011733","Bakeri Coconut Family Pack Rs40"
"8961003021732","Bakeri Coconut Rs20"
"8961003011771","Bakeri Nan Khatai Family Pack Rs40"
"8961003021763","Bakeri Nankhatai RS 20"
"8961003024016","Bakery Bistiks H/R"
"8961003060335","Candi Biscuit Rs5"
"8961003010316","Candi Biscuits F/P"
"8961003020315","Candi Biscuits RS 20"
"8961003010521","Gala Biscuits F/P"
"8961003020520","Gala Biscuits RS 20"
"8961003090547","Gala Egg Biscuit Rs10"
"8961003026010","Oreo Biscuits RS20"
"8961003653025","Oreo Crispy RS 5"
"8961003654176","Oreo Mini Chocolate RS10"
"8961003653155","Oreo Mini Chocolate RS5"
"8961003654114","Oreo Mini Original RS10"
"8961003653117","Oreo Mini Original Rs5"
"8961003654138","Oreo Mini Strawberry RS10"
"8961003653131","Oreo Mini Strawberry RS5"
"8961003016035","Oreo Original Rs45"
"8961003654022","Oreo Strawberry RS 10"
"8961003652011","Oreo Strawbery Rs20"
"8961003642210","Peanut Maza Biscuit Rs20"
"8961003613111","Prince Choc Cover RS10"
"8961003614149","Prince Choco Jammies RS10"
"8961003020117","Prince Chocolate Biscuit Rs20"
"8961003613319","Prince Junior Biscuit Rs5"
"8961003614415","Prince Mini Fingers Rs10"
"8961003612411","Prince Mini Fingers Rs20"
"8961003021510","Tiger Biscuits RS5"
"8961003040214","Tuc Biscuit Rs5"
"8961003010217","Tuc Biscuits F/P"
"8961003020216","Tuc Biscuits RS 20"
"8961003682018","Wheatable Biscuit Rs25"
"8961003011832","Wheatable Family Pack 60"
"8961003041020","Zeera Plus Biscuit Rs5"
"8961003021022","Zeera Plus Biscuits RS 20"
"8961003011016","Zeera Plus Family Pack Rs40"
"8964001526865","ChocoLava Biscuit Rs10"
"5060068552014","Cotton Buds 300pc"
"8886950014050","Bonus Active 2Kg"
"8886950013312","Bonus Powder 425g"
"8886950013848","Bonus Powder 950+50g"
"8886950013305","Bonus Powder R-10"
"8886950013206","Bonus Tristar 950g"
"8886950011325","Brite Anti Bacterial 1kg"
"8886950011318","Brite Anti Bacterial Powder 500g"
"8886950011066","Brite Powder 1kg"
"8886950011141","Brite Powder 500g"
"8886950011578","Brite Powder RS-10"
"8886950056067","Colgate Citrus Blast 125g"
"8886950051024","Colgate Grf 75g"
"8886950052038","Colgate Herbal 100g"
"8886950052045","Colgate Herbal 150g"
"8886950052069","Colgate Herbal 200g"
"8886950052144","Colgate Herbal 25g"
"8886950052120","Colgate Herbal 50g"
"8886950056043","Colgate Max Fresh 125g"
"8886950056036","Colgate Max fresh 75g"
"8886950056012","Colgate Max Fresh 75g"
"8886950056050","Colgate Max Fresh CB 75g"
"8886950051031","Colgate MCP 100g"
"8886950051048","Colgate MCP 150g"
"8886950051055","Colgate MCP 200g"
"8886950051284","Colgate MCP 25g"
"8886950051017","Colgate MCP 50g"
"8886950050218","Colgate Mega Save R-50"
"8886950054025","Colgate Misvak 100g"
"8886950054018","Colgate Misvak 50g"
"8886950056029","Colgate Peppermint 125g"
"8886950057040","Colgate Total 40g"
"8886950057057","Colgate Total 75g"
"8886950012148","Express Powder 1kg"
"8886950012230","Express Powder 2Kg"
"8886950012223","Express Powder 500g"
"8886950083162","Lemon Max 400gm"
"8886950072043","Max Dishwash Bar 175g"
"8886950072050","Max Dishwash Bar 320g"
"8886950085234","Max Dishwash Liquid 170ml"
"8886950096179","Max Dishwash Liquid 475ML"
"8886950096391","Max Dishwash Liquid 750ml"
"8886950096193","Max Dishwash Liquid AB 475ML"
"8886950096162","Max Dishwash Liquid L 275ML"
"8886950096216","Max Dishwash Liquid L/F 475ML"
"8886950096186","Max Dishwash Liquid Pouch S-40 450ML"
"8886950074658","Max Dishwash Paste 400g"
"8886950074498","Max Dishwash Paste Lime 200g"
"8886950073651","Max Dishwash Paste Org 400g"
"8886950083117","Max Dishwash Powder S-8 790g"
"8886950071961","Max Long Bar Dishwash 270g"
"8886950083155","Max Powder 430g Btl"
"8886950037059","Palmolive Handwash AB 450ML"
"8886950037028","Palmolive Handwash AB WT 225ML"
"8886950037042","Palmolive Handwash AC 450ML"
"8886950031576","Palmolive HG 145g"
"8886950031569","Palmolive MG 145g"
"8886950031606","Palmolive RG 145g"
"8886950031583","Palmolive Rose 145g"
"8886950035062","Palmolive Shampoo AV 180ML"
"8886950035123","Palmolive Shampoo AV 375ML"
"8886950035321","Palmolive Shampoo AV 700ML"
"8886950035048","Palmolive Shampoo CC 180ML"
"8886950035109","Palmolive Shampoo CC 375ML"
"8886950034027","Protex Soap Aloe 100g"
"8886950034058","Protex Soap Aloe 135g"
"8886950034010","Protex Soap Balance 100g"
"8886950034041","Protex Soap Balance 138g"
"8886950034034","Protex Soap Gentle 100g"
"8886950034065","Protex Soap Gentle 138g"
"8886950066479","Sparkle 200g"
"8886950066486","Sparkle Free Max 130g"
"5022496105002","Dabur Amla Hair OIl 100ml"
"5022496103428","Dabur Amla Hair Oil 50ml"
"8901207099106","Dabur Red Tooth Paste 100g"
"5022496100120","Vatika Coconut Hair Oil 125ml"
"6291069705348","Vatika Hair Oil Almond 100ml"
"6291069651072","Vatika Hair Oil Almond 200ml"
"6291069705355","Vatika Hair Oil Cactus 100ml"
"6291069651058","Vatika Hair Oil Coconut 200ml"
"5022496103534","Vatika Hair Oil Olive 200ml"
"6291069705324","Vatika Hair Oil Olive100ml"
"6291069709773","Vatika Hair Oil Sarson 100ml"
"6291069715682","Vatika Hair OIl Shikakai 100ml"
"6291069208207","Vatika Shampoo Almond 200ml"
"6291069701067","Vatika Shampoo Black 200ml"
"6291069208245","Vatika Shampoo Cactus 200ml"
"6291069701265","Vatika Shampoo Coconut 200ml"
"6291069208221","Vatika Shampoo Honey 200ml"
"8901207040986","Vatika Shampoo Lemon 200ml"
"5022496001946","Vatika Shampoo Olive 200ml"
"7622201798314","Cadbury Dairy Milk"
"2998","Cadbury Eclair Gold Rs5"
"2508","Cadbury Eclair Rs2"
"7622201423001","Cadbury More 25g"
"7622201423858","Cadbury Moro 12G"
"7622210867056","Cadbury Perk R10"
"7622201779221","Dairy Milk 10g R20"
"7622201779009","Dairy Milk 18g r30"
"8961100420025","Dairy Milk 38g"
"7622210549303","Dairy Milk 5G R10"
"7622210623522","Dairy Milk 61G R100"
"7622210417251","Dairy Milk 90G"
"7622210499592","Dairy Milk Bubbly 20g"
"7622210182913","Dairy Milk Bubbly 40g"
"7622210182920","Dairy Milk Bubbly 40g"
"7622210187024","Dairy Milk Bubbly 87g"
"7622201768638","Dairy Milk Bubly Rs30"
"7622210348876","Dairy Milk Chocolate 90g"
"7622210844354","Dairy Milk Crackle 21.5g"
"7622210844231","Dairy Milk Fruit & Nut 38g"
"7622210931580","Dairy Milk Oreo"
"7622210844279","Dairy Milk Roasted Almond 38g"
"7622201418397","Delight Choclate 12G"
"7622201418540","Perk Double R20"
"7622210866967","Perk Rs5"
"2999","Softmint Ice Rs1"
"3000","Softmint Orange Rs1"
"2996","Softmint Strawbery Rs1"
"8961102110047","Blue band 200g"
"8961102110054","Blue band 250g"
"8961102110061","Blue band 500g"
"8961102110030","Blueband 100g"
"8961102110023","Blueband 50g"
"8961100502813","Dalda C/Oil 1L"
"8961100503117","Dalda C/Oil 2.5L"
"8961100503131","Dalda C/Oil 3L BTL"
"8961100503148","Dalda C/Oil 4.5L Btl"
"8961100503124","Dalda C/Oil 5L TIN"
"8961100502790","Dalda VTF 1Kg"
"8961100503094","Dalda VTF 2.5Kg"
"8961100503100","Dalda VTF 5Kg"
"8961100502349","Manpasand Banaspati 1kg"
"8961100502448","Manpasand Banaspati 5Kg Tin"
"8961100502363","Manpasand C-Oil 1L"
"8961100502486","ManPasand C-Oil 5L Tin"
"8961100501281","Tullo Banaspati 1Kg"
"8961100501311","Tullo Banaspati 5kg Tin"
"8961100501328","Tullo C-Oil 1L"
"8964000241004","Chicken Corn Soup 50g"
"8964000241028","Chicken Vegetable Soup 50g"
"8964000241400","Dashi Chicken Powder 100g"
"8964000241042","Dashi Chicken Powder 18g"
"8964000241035","Hot & Sour Soup 50g"
"8964000241530","Mingalz Choco Balls"
"8964000241547","Mingalz Choco bites"
"8964000241561","Mingalz Choco Filled Crunch"
"8964000241707","Mingalz Chocolate Filled Crunch 330g"
"8964002234103","Dastak C-Oil 3L Btl"
"8964002234110","Dastak C-Oil 5L Btl"
"8964002234073","Dastak Cooking Oil 10L GLN"
"8964000816660","Day Fresh Flavored Milk Cofee"
"8964000816943","Dayfresh Mango Milk 225ml"
"8964000816509","DayFresh Pista Milk 225ml"
"54879546","Delish Podina Raita 200g"
"748252461155","Delite Air Freshner Oudh 300ml"
"653341109477","Delite Calm Hand Sanitizer 250ml"
"653341104977","Delite Cold Water Air Freshner 300ml"
"653341104571","Delite Do IT Air Freshner 300ml"
"653341109675","Delite Hand Sanitizer 250ml Berry"
"653341110473","Delite Hand Sanitizer 60ml Apple"
"653341110275","Delite Hand Sanitizer 60ml Lemon"
"653341110176","Delite Hand Sanitizer 60ml Pls"
"653341110077","Delite Hand Sanitizer 60ml Rose"
"644216996773","Delite Hand Sanitizer apple"
"644216995578","Delite Hand Sanitizer Florette 75ml"
"653341108678","Delite Hand Wash Alovera 500ml"
"653341108173","Delite Hand Wash apple 500ml"
"653341108470","Delite Hand Wash Grapes 500ml"
"653341108371","Delite Hand Wash Lemon 500ml"
"653341108272","Delite Hand Wash Oudh 500ml"
"653341108876","Delite Hand Wash Strawbery 500ml"
"644216998371","Delite Laundry Detergent Gel"
"653341104670","Delite Musk Air Freshner 300ml"
"653341109873","Delite Pleasure Hand Sanitizer 250ml"
"653341105479","Delite Silver Valley Air Freshner 300ml"
"748252461452","Delite Sultan Air Freshner 300ml"
"653341109576","Hand Sanitizer 250ml Lemon Delite"
"3215348675690","Cache Pure & Vegetal Talco"
"040232081583","Douwe Petrolium Jelly FP"
"6954917205864","Ezee Baby Diapers 4 Jumbo 68Pc"
"6954917205871","Ezee Baby Diapers Jmb 5 60Pc"
"6954917205840","Ezee Baby Diapers Jmbo 2 Small 84Pc"
"6954917205857","Ezee Baby Diapers Midi 3 76Pc"
"8966000042124","Dupas Dish Wash Lime 600ml"
"8966000015081","Dupas Dish Wash Liquid 2500ml"
"8966000015012","Dupas Eco Hand Wash 400ml"
"8966000015067","Dupas Eco Liquid Soap 2500ml"
"8966000042179","Dupas Hand Sanitizer 60ml"
"8966000042186","Dupas Hand Sanitizer 60ml A/F"
"6939878170123","Dupas Hand Wash 300ml"
"6939878170024","Dupas Liquid Soap 300ml"
"2799","Dupas Surface Cleaner 2500ml"
"8966000015036","ECO Hand Wash F-B 400ml"
"8966000015098","Glass Cleaner Dupas"
"8964000571057","English Anti Lice Shampo"
"8964000571033","English Anti Lice shampo"
"8964000571040","English Anti Lice Shampoo"
"8964000571026","English Antilice Shampoo Rs5"
"8964000570081","English Herbal T/P B/P"
"7961413274071","Protect Tooth Paste 40g"
"8964000570180","Soda White T/P 65G B/P Save Rs50"
"8964000570173","Soda White Tooth Paste 65g"
"8964000919590","Dairy Omung 1.5L"
"8964000346853","Dairy Omung 1Ltr"
"8964000919736","Dobala Cream 200ml"
"8964002706150","Olpers Choc Flav Milk 180ml"
"8964000919712","Olpers Cream 200ml"
"8964000346334","Olpers Milk 1.5L"
"8964000346679","Olpers Milk 1L"
"8964000346549","Olpers Milk 250ml EQ"
"8964000919934","Olpers Milk 250ml TBA"
"8964000145807","Olpers Milk Pwdr 900g"
"8964000144978","Olpers Pro Cal 1L"
"8964000145708","Olpers Pro Cal 200ml"
"8964002706167","Olpers Strawbery Milk 180ml"
"7860000100055","Olpers Tarka Ghee 1Kg"
"8964000146637","Tarang 112ml"
"8964000002186","Maan Banaspati 1Kg"
"8964000002124","Maan C-Oil 1L"
"54879535","Delish Milk 1L"
"54879534","Delish Yogurt 500g"
"8235788948035","Ever Best Qulfi Large"
"823578894801","Ever Best Qulfi Small"
"54879539","YOUGURT DELISH 400G"
"9230654561324","Drypex Diapers 3 Med 72p"
"9230654561348","Drypex Diapers 5Junior 58p"
"5035570770010","Ezee Baby Wipes 80p"
"8964000139110","Dentist Frehand Soft T/B"
"8964000139318","Ezi Grip Brush"
"8964000139141","Ezigrip Kombat Brush"
"8964000139158","Ezigrip kombat Rs 90"
"1654","Fero Caine"
"1653","Fero Pyorhean"
"1656","Ferofex Phaki  50g"
"1657","Kamal Skin Ointment"
"2850","Kamal Skin Ointment 100g"
"2620773133","Fakiri Marhum 14g"
"2620773193","Fakiri Marhum Small"
"8964001015192","Salva Canola Oil 1L"
"8964000064030","Fauji Barley Porridge 100g"
"8964000064221","Fauji Barley Porridge 175G"
"8964000064214","Fauji barley Porridge 250G"
"8964000064603","Fauji Choco Cups 150G"
"8964000064856","Fauji Chocolate pops 150g"
"8964000064092","Fauji Corn Flakes 150G"
"8964000064061","Fauji Corn Flakes 250G"
"8964000064702","Fauji Corn Flakes Mango 250G"
"8964000064528","Fauji Corn Flour 300G"
"8964000064795","Fauji Rice Flour 300G"
"8964000064177","Fauji Wheat Porridge 100G"
"8964000064153","Fauji Wheat Porridge 250G"
"8961101370015","Dostea Tea Mix 175ml"
"8961101372156","Nurpur Milk 1Ltr"
"8961101370084","Nurpur Milk 250ml"
"8961101370107","Nurpure 1.5 Ltr"
"9231012019341","Hockey Match Box Rs4"
"9231012019365","Hockey Match Rs3"
"6261342402783","Mayamay Olive BLack Shine 600ml"
"8694587113226","Trix Orange Drink"
"8694587113240","Trix Peach Drink"
"6260197402344","Wafers Orange"
"6251001216394","Fine Adult Diaper Large 9Pc"
"6251001216417","Fine Adult Diaper Med 11Pc"
"6251001307153","Fine Baby Diapers Eco 3M 36p"
"6251001307177","Fine Baby Diapers Eco 4L 32p"
